PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
28,079,18,10,28079018_10_47,2018,07,05,00013,V,00009,V,00007,V,00007,V,00005,V,00008,V,00008,V,00017,V,00017,V,00027,V,00036,V,00006,V,00025,V,00024,V,00003,V,00008,V,00013,V,00003,V,00023,V,00012,V,00027,V,00021,V,00000,N,00000,N
28,079,18,12,28079018_12_8,2018,07,05,00015,V,00012,V,00011,V,00008,V,00012,V,00016,V,00015,V,00028,V,00032,V,00042,V,00043,V,00035,V,00022,V,00022,V,00021,V,00022,V,00020,V,00018,V,00023,V,00019,V,00025,V,00033,V,00000,N,00000,N
28,079,18,14,28079018_14_6,2018,07,05,73.72,V,73.43,V,77.27,V,79.58,V,73.27,V,68.09,V,67.76,V,54.55,V,55.81,V,57.67,V,64.79,V,76.53,V,90.60,V,96.93,V,108.2,V,116.6,V,129.8,V,140.3,V,135.0,V,142.7,V,118.2,V,86.76,V,00000,N,00000,N
28,079,18,20,28079018_20_59,2018,07,05,000.8,V,000.6,V,000.5,V,000.4,V,000.6,V,000.4,V,000.5,V,000.6,V,000.7,V,001.0,V,001.0,V,001.1,V,000.7,V,000.5,V,000.8,V,000.5,V,000.6,V,000.5,V,000.7,V,000.7,V,001.1,V,000.8,V,00000,N,00000,N
28,079,18,30,28079018_30_59,2018,07,05,000.2,V,000.1,V,000.1,V,000.1,V,000.2,V,000.1,V,000.1,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.2,V,000.2,V,00000,N,00000,N
28,079,18,35,28079018_35_59,2018,07,05,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.2,V,000.1,V,000.1,V,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.1,V,00000,N,00000,N
28,079,24,1,28079024_1_38,2018,07,05,00003,V,00004,V,00003,V,00003,V,00003,V,00003,V,00003,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00003,V,00003,V,00003,V,00003,V,00003,V,00000,N,00000,N
28,079,24,6,28079024_6_48,2018,07,05,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.2,V,000.2,V,000.1,V,000.1,V,000.1,V,000.2,V,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,00000,N,00000,N
28,079,24,7,28079024_7_8,2018,07,05,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00002,V,00006,V,00006,V,00005,V,00003,V,00002,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00000,N,00000,N
28,079,24,8,28079024_8_8,2018,07,05,00002,V,00002,V,00001,V,00001,V,00001,V,00003,V,00004,V,00007,V,00014,V,00023,V,00024,V,00023,V,00012,V,00009,V,00009,V,00009,V,00009,V,00007,V,00007,V,00006,V,00003,V,00008,V,00000,N,00000,N
28,079,24,10,28079024_10_47,2018,07,05,00022,V,00019,V,00011,V,00012,V,00015,V,00011,V,00013,V,00012,V,00016,V,00014,V,00010,V,00022,V,00011,V,00010,V,00015,V,00012,V,00017,V,00015,V,00012,V,00015,V,00015,V,00026,V,00000,N,00000,N
28,079,24,12,28079024_12_8,2018,07,05,00004,V,00004,V,00003,V,00002,V,00003,V,00005,V,00006,V,00008,V,00017,V,00032,V,00032,V,00031,V,00017,V,00011,V,00011,V,00011,V,00010,V,00008,V,00008,V,00008,V,00004,V,00010,V,00000,N,00000,N
28,079,24,14,28079024_14_6,2018,07,05,85.10,V,82.46,V,85.91,V,87.00,V,83.91,V,78.32,V,78.20,V,71.03,V,61.67,V,60.99,V,70.48,V,77.74,V,93.55,V,103.0,V,111.9,V,122.8,V,133.5,V,145.1,V,150.8,V,149.3,V,140.6,V,112.7,V,00000,N,00000,N
